6199,Children's Family Services,Equipment and Materials Purcha,1/17/2015,medavakkam,1414
6753,Children's Education & Skills,Food Costs,1/18/2015,pallikarnai,6300
6084,Children's Family Services,Travelling Expenses,1/18/2015,karapakkam,4000
6955,Children's Family Services,Food Costs,1/19/2015,karapakkam,900
5132,Children's Family Services,Equipment and Materials Purcha,1/19/2015,medavakkam,2332
5161,Children's Family Services,Other Transfer Payments to Soc,1/19/2015,pallikarnai,450
7042,Children's Education & Skills,Equipment and Materials Purcha,1/20/2015,karapakkam,16750
4820,Children's Family Services,Food Costs,1/20/2015,pallikarnai,3260
3072,Children's Education & Skills,Miscellaneous Expenses,1/20/2015,medavakkam,3600
7061,Children's Family Services,Other Services,1/20/2015,karapakkam,799
6661,Children's Family Services,Building Repairs & Maintenance,1/21/2015,karapakkam,5468
7058,Adults and Communities,Training,1/21/2015,pallikarnai,39695
6718,Children's Family Services,Equipment and Materials Purcha,1/22/2015,pallikarnai,17587
5419,Children's Education & Skills,Stationery,1/22/2015,sipcot,1197
6059,Commissioning,Equipment and Materials Purcha,1/23/2015,karapakkam,13400
6741,Children's Family Services,Other Services,1/23/2015,medavakkam,3627
3054,Children's Family Services,Equipment and Materials Purcha,1/23/2015,pallikarnai,662
6896,Adults and Communities,Miscellaneous Expenses,1/23/2015,medavakkam,1667
3166,Assurance,Other Vehicle Costs,1/23/2015,medavakkam,1150
5927,Children's Family Services,Food Costs,1/23/2015,pallikarnai,1100
7105,Children's Family Services,Stationery,1/24/2015,pallikarnai,2201
5317,Assurance,Vehicle Running Costs,1/25/2015,medavakkam,1999
5733,Assurance,Pool Transport Charges,1/25/2015,karapakkam,2890
5889,Children's Family Services,Other Transfer Payments to Soc,1/27/2015,karapakkam,700
4734,Children's Family Services,Equipment and Materials Purcha,1/27/2015,karapakkam,1620
3254,Children's Family Services,Other Agencies - Third Party P,1/27/2015,sipcot,41667
4170,Children's Family Services,Publications,1/27/2015,pallikarnai,55
5665,Children's Education & Skills,Travelling Expenses,1/27/2015,sipcot,1704
5738,Children's Family Services,Travelling Expenses,1/28/2015,medavakkam,2000
4563,Children's Education & Skills,Postage,1/28/2015,medavakkam,18900
5378,Children's Family Services,Miscellaneous Expenses,1/29/2015,medavakkam,3000
4944,Children's Family Services,Equipment and Materials Purcha,1/29/2015,sipcot,60675
4311,Children's Family Services,Building Repairs & Maintenance,1/29/2015,karapakkam,618
4142,Children's Family Services,Other Services,1/29/2015,sipcot,2958
4647,Children's Education & Skills,Travelling Expenses,1/30/2015,karapakkam,2450
5311,Children's Family Services,Books-CDs-Audio-Video,1/31/2015,medavakkam,658
4865,Children's Family Services,Food Costs,1/31/2015,medavakkam,14875
6541,Children's Family Services,Food Costs,1/31/2015,medavakkam,300
4162,Children's Family Services,Other Transfer Payments to Soc,1/31/2015,medavakkam,1000
5571,Children's Family Services,Stationery,2/1/2015,karapakkam,14990
5922,Children's Family Services,Legal and Court Fees,2/1/2015,sipcot,26000
4344,Children's Education & Skills,Training,2/1/2015,karapakkam,98747
5157,Children's Family Services,Travelling Expenses,2/1/2015,medavakkam,2000
7140,Children's Education & Skills,Travelling Expenses,2/2/2015,karapakkam,2020
6048,Children's Family Services,Cleaning and domestic material,2/2/2015,pallikarnai,1600
5803,Children's Family Services,Building Repairs & Maintenance,2/2/2015,pallikarnai,9598
6307,Children's Family Services,Other Transfer Payments to Soc,2/2/2015,pallikarnai,8589
7251,Children's Family Services,Food Costs,2/3/2015,karapakkam,13437
5699,Commissioning,Equipment and Materials Purcha,2/3/2015,pallikarnai,5825
6448,Children's Family Services,Food Costs,2/3/2015,karapakkam,942
4922,Children's Service DSG,Equipment and Materials Purcha,2/4/2015,pallikarnai,889
4181,Children's Family Services,Food Costs,2/4/2015,sipcot,883
4284,Streetscene,Equipment and Materials Purcha,2/4/2015,medavakkam,2612
7138,Children's Family Services,Food Costs,2/5/2015,pallikarnai,1338
5070,Children's Family Services,Food Costs,2/6/2015,pallikarnai,2380
5379,Children's Family Services,Miscellaneous Expenses,2/7/2015,medavakkam,1724
5717,Assurance,Travelling Expenses,2/7/2015,karapakkam,1150
5558,Children's Family Services,Building Repairs & Maintenance,2/7/2015,sipcot,1995
6498,Children's Family Services,Other Transfer Payments to Soc,2/7/2015,sipcot,890
4702,Children's Family Services,Other Transfer Payments to Soc,2/8/2015,sipcot,450
7195,Children's Service DSG,Equipment and Materials Purcha,2/8/2015,pallikarnai,2638
7151,Children's Family Services,Other Transfer Payments to Soc,2/8/2015,sipcot,3500
7207,Streetscene,Vehicle Running Costs,2/8/2015,medavakkam,22750
6399,Children's Family Services,Stationery,2/8/2015,sipcot,3329
6097,Children's Family Services,Equipment and Materials Purcha,2/9/2015,pallikarnai,350
4874,Children's Family Services,Other Services,2/9/2015,pallikarnai,3350
4744,Children's Family Services,Miscellaneous Expenses,2/10/2015,pallikarnai,10200
6624,Children's Education & Skills,Training,2/12/2015,karapakkam,19733
5553,Children's Family Services,Food Costs,2/12/2015,sipcot,17063
5547,Children's Family Services,E25 - Catering Supplies,2/12/2015,medavakkam,15768
6765,Children's Family Services,Food Costs,2/12/2015,karapakkam,545
3126,Children's Family Services,Food Costs,2/13/2015,medavakkam,700
6324,Children's Family Services,Equipment and Materials Purcha,2/13/2015,karapakkam,457
7088,Children's Education & Skills,Food Costs,2/13/2015,medavakkam,2848
5310,Children's Family Services,Miscellaneous Expenses,2/14/2015,sipcot,3360
6193,Children's Family Services,E25 - Catering Supplies,2/15/2015,sipcot,17532
4327,Children's Family Services,Equipment and Materials Purcha,2/15/2015,karapakkam,475
5685,Children's Family Services,Other Transfer Payments to Soc,2/15/2015,sipcot,1815
5735,Children's Education & Skills,Equipment and Materials Purcha,2/15/2015,karapakkam,30000
4166,Streetscene,Other Indirect Employee Expens,2/16/2015,pallikarnai,13708
4981,Children's Education & Skills,Food Costs,2/16/2015,medavakkam,3355
4593,Children's Education & Skills,Travelling Expenses,2/16/2015,pallikarnai,1385
3269,Children's Family Services,Other Transfer Payments to Soc,2/16/2015,sipcot,700
6561,Children's Family Services,Food Costs,2/16/2015,sipcot,1100
5453,Children's Family Services,Other Agencies - Third Party P,2/16/2015,pallikarnai,4222
5313,Children's Family Services,Travelling Expenses,2/17/2015,karapakkam,2000
4491,Children's Education & Skills,Travelling Expenses,2/17/2015,sipcot,1385
5952,Children's Family Services,Food Costs,2/17/2015,sipcot,37
4867,Children's Family Services,Food Costs,2/17/2015,karapakkam,1200
4155,Children's Family Services,Equipment and Materials Purcha,2/17/2015,karapakkam,4809
6185,Children's Family Services,Other Services,2/18/2015,pallikarnai,4499
6178,Children's Family Services,Other Services,2/18/2015,sipcot,50317
5844,Children's Family Services,E19 - Learning Resources,2/18/2015,sipcot,1746
4785,Children's Family Services,Equipment and Materials Purcha,2/18/2015,sipcot,2150
6056,Children's Education & Skills,Postage,2/19/2015,medavakkam,25200
5517,Children's Family Services,Stationery,2/19/2015,medavakkam,1058
6819,Children's Family Services,Other Services,2/19/2015,medavakkam,3096
6156,Children's Service DSG,Equipment and Materials Purcha,2/19/2015,karapakkam,7587
4854,Children's Family Services,Equipment and Materials Purcha,2/19/2015,karapakkam,1995
5421,Children's Family Services,Equipment and Materials Purcha,2/19/2015,karapakkam,915
4356,Commissioning,Equipment and Materials Purcha,2/20/2015,pallikarnai,5825
4773,Children's Family Services,Miscellaneous Expenses,2/20/2015,medavakkam,2340
3084,Children's Family Services,Cleaning and domestic material,2/21/2015,sipcot,2830
4543,Children's Family Services,Miscellaneous Expenses,2/21/2015,medavakkam,2132
6722,Streetscene,Vehicle Running Costs,2/22/2015,karapakkam,22750
3048,Children's Family Services,Stationery,2/22/2015,pallikarnai,12576
4382,Children's Family Services,Equipment and Materials Purcha,2/22/2015,karapakkam,3292
6210,Children's Family Services,Equipment and Materials Purcha,2/23/2015,sipcot,2869
6810,Children's Family Services,Food Costs,2/23/2015,sipcot,20623
7180,Children's Family Services,Cleaning and domestic material,2/24/2015,karapakkam,2125
7215,Streetscene,Vehicle Running Costs,2/24/2015,medavakkam,22750
5996,Adults and Communities,Miscellaneous Expenses,2/24/2015,pallikarnai,10500
5039,Children's Family Services,Food Costs,2/24/2015,sipcot,8567
6418,Children's Family Services,Food Costs,2/25/2015,pallikarnai,350
5935,Children's Family Services,Equipment and Materials Purcha,2/25/2015,karapakkam,208
5439,Children's Family Services,Travelling Expenses,2/25/2015,sipcot,65
4444,Children's Service DSG,Postage,2/26/2015,sipcot,1130
4816,Assurance,Miscellaneous Expenses,2/26/2015,pallikarnai,2500
6431,Children's Education & Skills,Food Costs,2/27/2015,pallikarnai,3680
3310,Children's Education & Skills,Travelling Expenses,2/27/2015,pallikarnai,110
4588,Children's Education & Skills,Travelling Expenses,2/28/2015,pallikarnai,2450
6862,Children's Family Services,Travelling Expenses,2/28/2015,pallikarnai,2000
5413,Children's Family Services,E19 - Learning Resources,2/28/2015,sipcot,1433
4958,Children's Family Services,Food Costs,3/1/2015,karapakkam,9600
6121,Children's Family Services,E25 - Catering Supplies,3/1/2015,sipcot,12107
7435,Children's Family Services,Cleaning and domestic material,3/2/2015,pallikarnai,3400
5575,Children's Family Services,Building Repairs & Maintenance,3/3/2015,karapakkam,1943
5195,Children's Family Services,Books-CDs-Audio-Video,3/3/2015,karapakkam,1198
5470,Children's Family Services,Food Costs,3/4/2015,pallikarnai,12462
5106,Children's Family Services,Equipment and Materials Purcha,3/4/2015,medavakkam,5008
3131,Children's Education & Skills,Travelling Expenses,3/6/2015,karapakkam,1704
4573,Children's Service DSG,Equipment and Materials Purcha,3/6/2015,sipcot,2534
5705,Children's Service DSG,Equipment and Materials Purcha,3/6/2015,sipcot,310
5187,Children's Family Services,Cleaning and domestic material,3/6/2015,karapakkam,1990
6675,Children's Family Services,Food Costs,3/7/2015,sipcot,500
4557,Children's Family Services,Food Costs,3/7/2015,pallikarnai,500
6781,Children's Family Services,Food Costs,3/7/2015,sipcot,1480
5809,Children's Family Services,Equipment and Materials Purcha,3/7/2015,medavakkam,2720
4828,Children's Family Services,Other Transfer Payments to Soc,3/8/2015,sipcot,2300
5307,Children's Family Services,Equipment and Materials Purcha,3/8/2015,karapakkam,2477
4613,Children's Family Services,Travelling Expenses,3/9/2015,karapakkam,2000
5948,Children's Service DSG,Equipment and Materials Purcha,3/9/2015,sipcot,5876
4663,Children's Family Services,Travelling Expenses,3/10/2015,karapakkam,400
4403,Children's Family Services,Other Services,3/10/2015,medavakkam,16320
6685,Children's Education & Skills,Food Costs,3/10/2015,pallikarnai,38093
6870,Adults and Communities,Miscellaneous Expenses,3/10/2015,sipcot,3333
6475,Children's Family Services,Food Costs,3/11/2015,sipcot,9897
3033,Children's Education & Skills,Equipment and Materials Repair,3/11/2015,pallikarnai,50000
4405,Children's Family Services,Other Services,3/12/2015,medavakkam,2340
5777,Children's Family Services,Cleaning and domestic material,3/12/2015,medavakkam,500
6683,Children's Family Services,Books-CDs-Audio-Video,3/12/2015,karapakkam,668
5879,Children's Family Services,Equipment and Materials Purcha,3/12/2015,sipcot,9388
4915,Children's Education & Skills,Venue Hire,3/12/2015,karapakkam,6000
4559,Children's Family Services,Other Services,3/13/2015,sipcot,840
6334,Children's Family Services,Food Costs,3/13/2015,karapakkam,4461
4811,Children's Family Services,Food Costs,3/13/2015,pallikarnai,13539
6826,Children's Family Services,Equipment and Materials Purcha,3/13/2015,medavakkam,28892
4167,Children's Family Services,Other Agencies - Third Party P,3/14/2015,karapakkam,41667
6522,Commissioning,Training,3/14/2015,sipcot,37800
5680,Assurance,Other Indirect Employee Expens,3/14/2015,medavakkam,28050
5043,Assurance,Miscellaneous Expenses,3/16/2015,karapakkam,200
4526,Streetscene,Vehicle Running Costs,3/16/2015,karapakkam,22750
6453,Commissioning,Equipment and Materials Purcha,3/17/2015,medavakkam,619
5743,Children's Family Services,Equipment and Materials Purcha,3/17/2015,medavakkam,8088
5488,Children's Family Services,Cleaning and domestic material,3/17/2015,sipcot,350
3160,Children's Family Services,Food Costs,3/17/2015,karapakkam,550
5958,Children's Family Services,Equipment and Materials Purcha,3/17/2015,sipcot,1187
4137,Children's Family Services,Equipment and Materials Purcha,3/18/2015,medavakkam,9770
5860,Streetscene,Equipment and Materials Purcha,3/18/2015,karapakkam,19499
5513,Children's Family Services,Education CFR Other Occupation,3/18/2015,medavakkam,2333
3081,Children's Family Services,Food Costs,3/18/2015,sipcot,12000
4431,Assurance,Miscellaneous Expenses,3/20/2015,medavakkam,117
5625,Children's Education & Skills,Travelling Expenses,3/20/2015,karapakkam,12776
5416,Children's Education & Skills,Consumable Catering Supplies,3/21/2015,pallikarnai,16380
3143,Children's Family Services,Other Transfer Payments to Soc,3/21/2015,karapakkam,3400
4332,Children's Family Services,Other Agencies - Third Party P,3/21/2015,pallikarnai,23250
4548,Children's Family Services,E19 - Learning Resources,3/21/2015,karapakkam,217
5807,Children's Family Services,Cleaning and domestic material,3/22/2015,medavakkam,4408
5765,Children's Family Services,Travelling Expenses,3/22/2015,medavakkam,2000
5672,Commissioning,Equipment and Materials Purcha,3/23/2015,medavakkam,1367
5215,Children's Family Services,Other Transfer Payments to Soc,3/23/2015,pallikarnai,11000
4719,Children's Service DSG,Training,3/23/2015,pallikarnai,19000
4157,Children's Family Services,Equipment and Materials Purcha,3/23/2015,medavakkam,594
4977,Children's Family Services,Equipment and Materials Purcha,3/24/2015,karapakkam,3497
7014,Children's Family Services,Food Costs,3/24/2015,medavakkam,15920
7006,Children's Family Services,Other Transfer Payments to Soc,3/24/2015,pallikarnai,300
5584,Children's Family Services,Education CFR Administrative S,3/26/2015,karapakkam,4493
4379,Children's Family Services,Travelling Expenses,3/26/2015,sipcot,2000
6390,Children's Family Services,General Office Expenses,3/26/2015,sipcot,4793
4454,Children's Family Services,Cleaning and domestic material,3/27/2015,medavakkam,265
6025,Children's Family Services,Food Costs,3/27/2015,pallikarnai,399
5725,Assurance,Other Indirect Employee Expens,3/27/2015,medavakkam,1323
4790,Children's Family Services,Equipment and Materials Purcha,3/27/2015,medavakkam,34018
4778,Commissioning,Training,3/27/2015,sipcot,131000
3308,Children's Education & Skills,Books-CDs-Audio-Video,3/27/2015,medavakkam,2535
5931,Children's Family Services,Equipment and Materials Purcha,3/28/2015,sipcot,1533
5703,Children's Service DSG,Books-CDs-Audio-Video,3/28/2015,sipcot,2185
4338,Children's Family Services,Travelling Expenses,3/28/2015,pallikarnai,6528
4814,Children's Family Services,Food Costs,3/28/2015,sipcot,7606
5698,Children's Education & Skills,Postage,3/29/2015,karapakkam,18900
6368,Commissioning,Equipment and Materials Purcha,3/29/2015,pallikarnai,498
4802,Children's Family Services,Equipment and Materials Purcha,3/29/2015,pallikarnai,1650
6480,Children's Family Services,Cleaning and domestic material,3/30/2015,karapakkam,4480
4350,Children's Family Services,Equipment and Materials Purcha,3/30/2015,medavakkam,13890
5875,Children's Family Services,Education CFR Other Occupation,3/30/2015,karapakkam,663
4676,Children's Education & Skills,Travelling Expenses,3/31/2015,karapakkam,2450
4908,Children's Family Services,Other Services,3/31/2015,sipcot,15600
4868,Children's Family Services,Food Costs,3/31/2015,pallikarnai,1000
6008,Children's Family Services,Books-CDs-Audio-Video,3/31/2015,pallikarnai,2000
7277,Children's Family Services,Food Costs,4/1/2015,medavakkam,961
7234,Children's Family Services,Equipment and Materials Purcha,4/1/2015,sipcot,9558
4595,Children's Family Services,Miscellaneous Expenses,4/1/2015,karapakkam,12000
5387,Children's Family Services,Food Costs,4/1/2015,medavakkam,4870
5835,Children's Family Services,Books-CDs-Audio-Video,4/1/2015,pallikarnai,3246
4901,Children's Family Services,Equipment and Materials Purcha,4/2/2015,sipcot,999
7124,Commissioning,Equipment and Materials Purcha,4/2/2015,karapakkam,651
4706,Commissioning,Equipment and Materials Purcha,4/2/2015,karapakkam,5825
6067,Children's Family Services,Miscellaneous Expenses,4/2/2015,pallikarnai,4025
5688,Children's Education & Skills,Postage,4/2/2015,karapakkam,655
6890,Assurance,Miscellaneous Expenses,4/2/2015,karapakkam,958
6547,Children's Family Services,Food Costs,4/3/2015,sipcot,16419
5960,Children's Family Services,Equipment and Materials Purcha,4/3/2015,karapakkam,325
7139,Children's Education & Skills,Consumable Catering Supplies,4/3/2015,karapakkam,14333
5383,Children's Education & Skills,Food Costs,4/3/2015,sipcot,2200
6122,Children's Family Services,Education CFR Administrative S,4/3/2015,pallikarnai,30815
5049,Children's Family Services,Other Transfer Payments to Soc,4/3/2015,sipcot,3000
4672,Children's Family Services,Travelling Expenses,4/4/2015,medavakkam,2000
4294,Children's Family Services,Equipment and Materials Purcha,4/4/2015,sipcot,6397
4942,Children's Family Services,Miscellaneous Expenses,4/4/2015,medavakkam,4950
5761,Children's Family Services,Books-CDs-Audio-Video,4/5/2015,medavakkam,5864
5701,Children's Family Services,Miscellaneous Expenses,4/6/2015,pallikarnai,10755
5944,Children's Family Services,Equipment and Materials Purcha,4/6/2015,sipcot,158
6303,Children's Education & Skills,Travelling Expenses,4/6/2015,karapakkam,1917
3062,Assurance,Miscellaneous Expenses,4/6/2015,sipcot,192
5848,Children's Family Services,Cleaning and domestic material,4/6/2015,medavakkam,7791
5604,Children's Family Services,Food Costs,4/6/2015,pallikarnai,895
4566,Children's Family Services,Food Costs,4/7/2015,karapakkam,14173
5850,Commissioning,Equipment and Materials Purcha,4/8/2015,pallikarnai,11433
5661,Children's Education & Skills,Travelling Expenses,4/8/2015,pallikarnai,1704
5984,Children's Family Services,Travelling Expenses,4/8/2015,karapakkam,500
6669,Children's Family Services,Other Services,4/9/2015,sipcot,150
3218,Children's Family Services,Food Costs,4/9/2015,medavakkam,2044
6653,Children's Family Services,Miscellaneous Expenses,4/10/2015,medavakkam,20364
5443,Children's Family Services,Equipment and Materials Purcha,4/10/2015,sipcot,81959
6843,Children's Family Services,Travelling Expenses,4/10/2015,pallikarnai,1500
6898,Children's Service DSG,Subscriptions,4/10/2015,medavakkam,15000
3295,Children's Education & Skills,Travelling Expenses,4/11/2015,karapakkam,1385
4622,Children's Family Services,Travelling Expenses,4/11/2015,sipcot,2000
6551,Children's Family Services,Travelling Expenses,4/11/2015,medavakkam,1000
5403,Children's Family Services,Other Services,4/12/2015,pallikarnai,6738
5987,Children's Family Services,Food Costs,4/12/2015,medavakkam,975
3230,Children's Family Services,Equipment and Materials Purcha,4/12/2015,sipcot,1190
4739,Children's Family Services,Other Services,4/12/2015,pallikarnai,499
4466,Assurance,Miscellaneous Expenses,4/12/2015,medavakkam,833
4285,Streetscene,Equipment and Materials Purcha,4/13/2015,sipcot,1416
5897,Children's Family Services,Food Costs,4/13/2015,sipcot,500
4385,Children's Education & Skills,Travelling Expenses,4/13/2015,pallikarnai,1704
5170,Children's Family Services,Travelling Expenses,4/13/2015,medavakkam,2000
5649,Children's Family Services,E25 - Catering Supplies,4/13/2015,medavakkam,846
6360,Children's Family Services,Cleaning and domestic material,4/13/2015,medavakkam,12646
4427,Children's Family Services,Other Services,4/14/2015,pallikarnai,6950
6863,Children's Family Services,Equipment and Materials Purcha,4/14/2015,pallikarnai,53760
3207,Children's Family Services,Equipment and Materials Purcha,4/15/2015,medavakkam,4660
4409,Children's Family Services,Cleaning and domestic material,4/15/2015,karapakkam,3970
6647,Children's Family Services,Food Costs,4/15/2015,karapakkam,59
7148,Children's Family Services,Travelling Expenses,4/15/2015,pallikarnai,2000
6619,Streetscene,Vehicle Running Costs,4/15/2015,pallikarnai,20250
5040,Children's Family Services,Food Costs,4/16/2015,sipcot,8237
4988,Streetscene,Equipment and Materials Purcha,4/16/2015,medavakkam,4794
6503,Children's Family Services,Cleaning and domestic material,4/16/2015,karapakkam,1090
4918,Children's Family Services,Food Costs,4/16/2015,medavakkam,1862
6372,Adults and Communities,Miscellaneous Expenses,4/16/2015,pallikarnai,3333
5819,Children's Family Services,Building Repairs & Maintenance,4/17/2015,karapakkam,1500
4464,Children's Family Services,Food Costs,4/17/2015,medavakkam,1117
6100,Children's Family Services,Stationery,4/18/2015,karapakkam,1120
5654,Streetscene,Books-CDs-Audio-Video,4/18/2015,karapakkam,2374
7526,Children's Family Services,Equipment and Materials Purcha,4/18/2015,karapakkam,3750
6650,Children's Family Services,Other Services,4/18/2015,medavakkam,697
7160,Children's Family Services,Food Costs,4/18/2015,karapakkam,6882
5932,Children's Family Services,Equipment and Materials Purcha,4/19/2015,sipcot,170
6213,Children's Family Services,Equipment and Materials Purcha,4/19/2015,karapakkam,675
6519,Children's Family Services,Other Transfer Payments to Soc,4/19/2015,pallikarnai,1500
6602,Commissioning,Conference Expenses,4/20/2015,sipcot,43800
5465,Children's Family Services,Equipment and Materials Purcha,4/21/2015,karapakkam,33750
7133,Children's Service DSG,Equipment and Materials Purcha,4/21/2015,medavakkam,2451
6474,Children's Family Services,Equipment and Materials Purcha,4/21/2015,sipcot,1600
3070,Children's Family Services,Water Services,4/21/2015,pallikarnai,22466
6051,Children's Family Services,Other Services,4/22/2015,medavakkam,3530
5448,Children's Family Services,Stationery,4/22/2015,sipcot,2513
5270,Children's Family Services,Cleaning and domestic material,4/22/2015,pallikarnai,1534
4172,Children's Education & Skills,Cleaning and domestic material,4/22/2015,medavakkam,21500
3074,Assurance,Miscellaneous Expenses,4/23/2015,sipcot,125
6883,Children's Family Services,Cleaning and domestic material,4/23/2015,medavakkam,3810
5246,Children's Family Services,Travelling Expenses,4/23/2015,sipcot,2000
4620,Children's Family Services,Travelling Expenses,4/24/2015,pallikarnai,7222
6172,Children's Family Services,Other Transfer Payments to Soc,4/25/2015,medavakkam,5005
4337,Children's Family Services,Building Repairs & Maintenance,4/26/2015,pallikarnai,695
5973,Children's Family Services,Equipment and Materials Purcha,4/26/2015,pallikarnai,91
5630,Children's Family Services,Equipment and Materials Purcha,4/26/2015,karapakkam,3320
4894,Children's Family Services,Travelling Expenses,4/27/2015,pallikarnai,2000
6289,Children's Family Services,Cleaning and domestic material,4/27/2015,medavakkam,420
6024,Children's Family Services,Stationery,4/27/2015,karapakkam,7796
5671,Children's Family Services,Food Costs,4/29/2015,sipcot,16846
5732,Children's Education & Skills,Equipment and Materials Purcha,4/29/2015,sipcot,27774
3191,Children's Family Services,Publications,4/29/2015,medavakkam,55
5454,Children's Family Services,Other Agencies - Third Party P,4/29/2015,pallikarnai,9735
6553,Commissioning,Equipment and Materials Purcha,4/29/2015,medavakkam,14810
6887,Children's Family Services,Books-CDs-Audio-Video,4/30/2015,medavakkam,2796
6018,Children's Family Services,Food Costs,4/30/2015,medavakkam,6021
5277,Children's Family Services,Building Repairs & Maintenance,4/30/2015,sipcot,749
3253,Assurance,Other Indirect Employee Expens,4/30/2015,medavakkam,338
5929,Children's Family Services,Equipment and Materials Purcha,4/30/2015,sipcot,25682
3214,Children's Family Services,Equipment and Materials Purcha,4/30/2015,medavakkam,4495
6504,Children's Education & Skills,Equipment and Materials Repair,4/30/2015,sipcot,3738
6341,Children's Family Services,Books-CDs-Audio-Video,4/30/2015,sipcot,644
6944,Children's Family Services,Other Services,5/3/2015,karapakkam,382
6128,Children's Family Services,Food Costs,5/4/2015,karapakkam,14493
6208,Children's Family Services,Equipment and Materials Purcha,5/4/2015,pallikarnai,593
5008,Children's Family Services,Equipment and Materials Purcha,5/5/2015,karapakkam,1216
5370,Children's Family Services,Food Costs,5/5/2015,sipcot,16896
6190,Children's Family Services,Equipment and Materials Purcha,5/5/2015,karapakkam,7892
5111,Children's Family Services,Books-CDs-Audio-Video,5/5/2015,medavakkam,1304
5387,Children's Family Services,Publications,5/5/2015,sipcot,60
5531,Children's Family Services,Food Costs,5/6/2015,pallikarnai,15131
4220,Children's Family Services,Other Transfer Payments to Soc,5/6/2015,medavakkam,6500
5844,Children's Family Services,Miscellaneous Expenses,5/6/2015,pallikarnai,1150
7038,Children's Family Services,Equipment and Materials Purcha,5/6/2015,sipcot,11099
6985,Children's Family Services,Other Transfer Payments to Soc,5/6/2015,karapakkam,8397
6795,Children's Family Services,Cleaning and domestic material,5/7/2015,pallikarnai,2685
7103,Children's Family Services,Equipment and Materials Purcha,5/7/2015,sipcot,10994
